sim_time_sec,elapsed_time_sec,global_x,global_y,global_z,global_qx,global_qy,global_qz,global_qw,roll,pitch,yaw,global_vx,global_vy,global_vz,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_linear_acceleration_x,imu_linear_acceleration_y,imu_linear_acceleration_z,imu_angular_acceleration_x,imu_angular_acceleration_y,imu_angular_acceleration_z
1780381995.565776587,0.223740101,-523.618711601,215.522114970,-0.075707452,-0.003929898,-0.001239658,0.457593124,0.889152153,-0.008123170,0.001392100,0.950575890,-0.000971627,-0.000351723,-0.039924079,-0.008750000,-0.000500000,-9.494500000,0.040000000,-0.095000000,9.770000000,-0.166666667,-0.833333333,-1581.458333491
1780381995.665721893,0.323685408,-523.618338612,215.522726927,-0.083647038,-0.004124953,-0.001572547,0.457594353,0.889150111,-0.008774699,0.000978651,0.950581305,0.009413404,0.014577137,-0.089209430,-0.004750000,-0.009750000,-9.485250000,0.240000000,-0.155000000,9.790000000,-0.145833333,0.166666667,-1580.354166824
1780381995.765676498,0.423640013,-523.616887715,215.525014282,-0.091446867,-0.004117502,-0.001888608,0.457596144,0.889148609,-0.009050705,0.000409800,0.950588304,0.014520760,0.023069431,-0.060758333,0.006000000,-0.016750000,9.483000000,0.265000000,-0.165000000,9.780000000,-0.062500000,-0.625000000,2370.281250056
1780381995.865703583,0.523667097,-523.616289573,215.525964573,-0.093703326,-0.004077118,-0.001960209,0.457596766,0.889148320,-0.009044419,0.000245519,0.950590419,0.005506426,0.008739956,-0.019694635,0.018000000,-0.002000000,9.490000000,0.305000000,-0.080000000,9.760000000,1.562500000,0.500000000,0.291666667
1780381995.965808392,0.623771906,-523.611208464,215.533918755,-0.107002518,-0.003749810,-0.002136453,0.457602161,0.889146578,-0.008623660,-0.000367397,0.950604301,0.045025570,0.069245130,-0.096231376,0.025000000,-0.001000000,9.504000000,0.310000000,-0.075000000,9.795000000,1.895833333,-0.083333333,2.375000000
1780381996.065681458,0.723644972,-523.605903385,215.541889098,-0.116578492,-0.003714742,-0.002012150,0.457608744,0.889143627,-0.008447534,-0.000178384,0.950617879,0.058139401,0.086212567,-0.095166015,-0.003250000,-0.000750000,-9.479500000,0.290000000,-0.025000000,9.750000000,1.343750000,-1.000000000,-2371.375000056
1780381996.165641308,0.823604822,-523.602871801,215.546349444,-0.121184193,-0.003789855,-0.001883038,0.457612775,0.889141518,-0.008462940,0.000119998,0.950625716,0.068117908,0.099945455,-0.100520244,-0.002000000,0.003250000,9.506000000,0.250000000,-0.085000000,9.780000000,0.312500000,-0.093750000,2375.937499516
1780381996.265787840,0.923751354,-523.597465671,215.554252829,-0.128457434,-0.003969528,-0.001584978,0.457620036,0.889137579,-0.008509653,0.000814544,0.950639275,0.067094868,0.098051078,-0.085516858,0.006000000,0.025500000,9.497500000,0.235000000,-0.130000000,9.820000000,0.593750000,-1.593750000,2372.406250056
1780381996.365725279,1.023688793,-523.590682047,215.564207549,-0.136377232,-0.004129729,-0.001126599,0.457628708,0.889133084,-0.008374997,0.001776374,0.950654837,0.628198448,0.924922200,-0.694035512,0.015750000,0.008000000,-9.494500000,0.225000000,-0.145000000,9.805000000,2.104166667,0.333333333,-1581.791666824
1780381996.465689182,1.123652697,-523.585342100,215.572107344,-0.141866379,-0.004158252,-0.000734901,0.457634905,0.889130172,-0.008067201,0.002499080,0.950665883,0.090711514,0.134450857,-0.089875586,-0.005250000,0.023250000,9.493750000,0.170000000,-0.145000000,9.875000000,-0.843750000,4.375000000,2372.312500056
